ra,dec,pmra,pmdec,parallax,parallax_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,teff_gspphot
201.7345306922187,-47.602356218423395,-3.6638432041303584,-7.413565022340338,0.0052103864732506,0.038498808,17.606482,17.918749,16.962595,0.9985013,5230.831
201.73750528760075,-47.60197364251829,-4.084205262798341,-6.4767426704511415,0.3442331824516076,2.9118385,17.494606,17.703579,16.791933,1.0036341,5559.288
201.76184814996017,-47.59166790439511,-3.727727455217487,-6.472292904241179,0.1509990509157112,2.1973374,16.310026,16.670279,15.644744,0.9864357,6082.9116
201.76970161267343,-47.58896799486849,-3.781428142338046,-6.661778997228403,0.1671074563859018,1.2089596,17.640297,17.855947,16.901995,0.9764536,5159.7295
201.8178868977247,-47.57837004469341,-3.9531276017669015,-7.297647375258329,0.1671987896652765,0.9323814,17.849112,17.97796,17.210741,1.2343663,5803.586
201.80650148618153,-47.57294291055236,-3.1124487534862793,-7.537045773798538,0.1727795305134227,1.5895215,17.11117,17.292187,16.236317,1.0366838,5829.025
201.77439831841164,-47.5882509970012,-2.722206659886761,-7.172575197763313,0.4360032591832017,4.101087,15.036909,15.060267,14.821974,3.4089725,10987.485
201.796058917888,-47.57121658643756,-3.007566561977936,-7.52318200127282,0.2470489257075426,3.2405849,16.472511,16.69846,15.651524,1.0654398,5983.9575
201.87355150955543,-47.673294019543384,-3.278476187964418,-7.067936970563506,0.11753434381222,1.1726198,17.25074,17.618649,16.680872,1.0665118,5586.6733
201.8751622667597,-47.67943889460802,-3.4651784846510756,-6.581630562739607,0.1666030610515742,6.6799216,13.928663,14.480552,13.222543,0.9512657,5760.1167
201.89185488732863,-47.66203600401033,-3.757668463377271,-6.351355177036281,0.1337765063407369,1.1791286,17.415154,17.713371,16.833893,1.0759805,5457.288
201.90511401908017,-47.658545534003615,-3.347399437816306,-6.809709766073967,0.2915777344942185,1.7863482,18.331388,18.537275,17.718386,1.0148351,5756.393
201.90618765138296,-47.663322446448255,-3.4581200001421113,-6.907267492513352,0.0442546402159381,0.3865132,17.727362,18.025885,17.228474,0.8673269,5749.6846
201.910928904893,-47.664504489804365,-2.7773252093712104,-6.406773732581106,0.2728765695346451,1.2269493,18.751123,19.052382,18.24231,1.0467463,5586.8423
201.91790982343105,-47.66006867628343,-2.9768937266974325,-6.429633532745909,0.0285772272498252,0.25902617,17.678715,17.883621,17.048508,0.98660886,5558.7847
201.9375263500993,-47.661623490776726,-3.209634595936352,-6.528291795594263,0.128561273121554,7.3098354,13.220747,13.829167,12.477535,1.071379,4817.085
201.9393542650791,-47.65033475225805,-2.8657800021323485,-6.683656605420218,0.2981687076545659,3.2447634,17.441412,17.786047,16.957745,0.9989335,5624.133
201.94252226297365,-47.64636082702735,-3.622999296738339,-7.010853396160754,0.263166435462883,2.3785279,17.65275,17.969225,17.136534,0.9620622,5555.8193
201.93777708836032,-47.64610022311497,-4.31885415447878,-6.501173596444202,0.3667765933032871,2.9037447,17.903028,18.21403,17.444448,0.98478854,5759.829
201.93464176903555,-47.65564623426948,-3.728282901354735,-6.22375510396798,0.1024931366386168,1.5256484,16.818253,17.23832,16.228565,0.966715,5725.507
