ra,dec,pmra,pmdec,parallax,parallax_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,teff_gspphot,bp_rp,absolute_G
201.64240836927536,-47.59565752960573,-3.887719652236983,-5.912678592917177,1.0143344204220952,5.972727,17.986757,18.189955,17.394112,1.1787214,5661.33,0.7958430000000014,8.01766281541762
201.6652528165061,-47.574588281291824,-4.191053575333923,-7.490613552929366,0.1552054263361667,4.9221554,14.182786,14.665202,13.464255,1.1358376,5741.9155,1.200947000000001,0.13732050557274
201.63600148617297,-47.57182174156219,-3.7908108764203647,-7.411303548178104,0.1744515718576475,4.9762216,14.793992,15.241993,14.07819,1.0164317,5865.4263,1.1638030000000015,1.0023664345849426
201.6367090006967,-47.57435323559483,-3.550946443857586,-6.541704642166512,0.1664337228002624,4.2112403,15.007106,15.436917,14.291951,1.0521562,5783.952,1.1449660000000002,1.1133126380854161
201.6813623103057,-47.56546197046664,-3.8776245180938376,-6.955172968128673,0.1430894582326687,4.899034,14.400895,14.875665,13.592736,1.1666198,5086.3066,1.2829289999999993,0.17893319675058095
201.6848037766688,-47.56720925527597,-3.661639281162624,-6.152788797584625,0.300099139792888,3.870146,16.294176,16.487675,15.41981,1.134957,5772.323,1.0678649999999994,3.6804997528034136
201.70363869597284,-47.547603123925406,-3.9675105634508303,-7.064619847606246,0.1356948227054973,3.5316942,14.690915,15.1378975,13.956396,1.0580717,5842.3394,1.1815014999999995,0.3537313896130847
201.62357546598065,-47.54695423847774,-4.224405596936072,-6.384299460141797,0.1867196793849607,6.6188664,13.220521,13.782065,12.476945,1.3505315,5331.288,1.3051199999999987,-0.42352853511022204
201.72682375554643,-47.527836207717144,-3.5950709723681356,-7.112591753149494,0.204128227809384,6.7613907,12.449959,13.061405,11.633093,1.1658702,5412.5244,1.428312,-1.0005256742593343
201.68770321320304,-47.50226781600192,-3.722930172022773,-5.4452210728875885,0.1610955384086577,6.4434423,12.182218,12.8316965,11.343229,1.0763302,4968.812,1.4884675000000005,-1.7823644366789573
